

JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/1/2004 Hingga 31/12/2004 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TRNGGANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,77,23,8,54,11,25,10,42,3,58,72,41,137,4,565
ROGOL,310,127,74,104,97,84,100,119,19,88,159,92,290,55,1718
SAMUN BERKAWAN BERS/API,6,1,0,3,1,2,0,0,0,2,0,9,20,0,44
SAMUN BERKAWAN TANPA BERS/API,347,24,4,226,35,56,16,92,5,46,55,55,727,1,1689
SAMUN BERSENJATAPI,34,11,0,48,11,18,2,27,0,22,1,16,144,0,334
SAMUN TANPA S/API,2528,286,91,2728,163,471,159,980,11,733,394,303,4347,27,13221
MENCEDERAKAN,545,336,157,385,137,166,116,392,35,308,199,273,1076,71,4196
JUMLAH,3847,808,334,3548,455,822,403,1652,73,1257,880,789,6741,158,21767
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,3445,2545,794,3562,542,1138,1149,2719,105,2697,2855,2278,8581,670,33080
CURI MOTOKAR,1381,248,182,1991,132,124,148,302,5,372,197,456,2974,112,8624
CURI MOTOSIKAL,8590,3169,2307,6284,1255,1304,1413,3048,209,4732,295,2167,15197,1590,51560
CURI VAN/LORI/J'BERAT,658,71,39,837,77,81,79,94,1,105,255,545,2032,18,4892
CURI RAGUT,1405,619,217,2819,221,209,183,864,15,1133,233,622,2858,138,11536
PECAH RUMAH DAN CURI,3086,1998,934,2192,554,1066,853,1856,116,1788,1441,1674,6634,712,24904
JUMLAH,18565,8650,4473,17685,2781,3922,3825,8883,451,10827,5276,7742,38276,3240,134596
JUMLAH JENAYAH INDEKS,22412,9458,4807,21233,3236,4744,4228,10535,524,12084,6156,8531,45017,3398,156363
JUMLAH JENAYAH JALANAN,4280,929,312,5773,419,736,358,1936,31,1912,682,980,7932,166,26446

JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/1/2005 Hingga 31/12/2005 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TRNGGANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,76,19,6,47,16,24,5,30,1,39,70,46,112,6,497
ROGOL,311,167,87,111,69,95,89,148,19,69,161,111,366,84,1887
SAMUN BERKAWAN BERS/API,8,0,0,2,0,0,0,5,0,0,0,20,5,0,40
SAMUN BERKAWAN TANPA BERS/API,418,44,6,308,63,58,26,78,0,86,49,67,637,2,1842
SAMUN BERSENJATAPI,17,13,0,26,4,9,6,15,0,53,3,16,153,2,317
SAMUN TANPA S/API,2345,336,51,2546,218,484,175,944,16,879,441,309,4443,23,13210
MENCEDERAKAN,516,267,173,412,148,196,79,426,41,359,220,261,1044,104,4246
JUMLAH,3691,846,323,3452,518,866,380,1646,77,1485,944,830,6760,221,22039
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,3669,2620,717,3649,1173,1355,901,3006,109,2256,2566,2349,9048,899,34317
CURI MOTOKAR,1394,228,229,2200,144,160,111,303,10,446,187,653,3551,95,9711
CURI MOTOSIKAL,9984,3742,1863,5838,1274,1486,1006,3035,204,4935,249,2388,13713,1992,51709
CURI VAN/LORI/J'BERAT,705,54,39,969,69,70,81,153,3,110,237,546,2448,23,5507
CURI RAGUT,1186,572,246,1737,359,185,231,824,21,1220,227,509,2194,106,9617
PECAH RUMAH DAN CURI,2875,2122,1008,1845,756,1220,807,1801,93,1060,1395,1488,6807,1188,24465
JUMLAH,19813,9338,4102,16238,3775,4476,3137,9122,440,10027,4861,7933,37761,4303,135326
JUMLAH JENAYAH INDEKS,23504,10184,4425,19690,4293,5342,3517,10768,517,11512,5805,8763,44521,4524,157365
JUMLAH JENAYAH JALANAN,3949,952,303,4591,640,727,432,1846,37,2185,717,885,7274,131,24669



JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/1/2006 Hingga 31/12/2006 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TRNGGANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,59,20,13,71,10,18,20,46,3,46,83,53,158,6,606
ROGOL,343,223,148,147,112,109,150,181,26,117,200,119,455,124,2454
SAMUN BERKAWAN BERS/API,14,7,0,5,2,0,1,1,0,1,2,20,13,1,67
SAMUN BERKAWAN TANPA BERS/API,564,63,12,533,70,58,34,122,0,169,64,113,911,10,2723
SAMUN BERSENJATAPI,31,31,0,18,0,10,7,12,1,38,6,7,85,2,248
SAMUN TANPA S/API,3364,464,64,4431,291,747,258,1215,13,1144,499,407,6488,82,19467
MENCEDERAKAN,725,358,246,644,201,241,139,508,74,475,301,362,1408,161,5843
JUMLAH,5100,1166,483,5849,686,1183,609,2085,117,1990,1155,1081,9518,386,31408
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,3677,1721,609,8542,1910,2189,2495,2740,128,3014,2671,3112,8756,908,42472
CURI MOTOKAR,2189,329,267,2136,178,186,125,383,11,417,239,818,3727,149,11154
CURI MOTOSIKAL,10604,5023,2498,7192,1360,1720,2129,3682,389,7105,341,3652,17386,2381,65462
CURI VAN/LORI/J'BERAT,987,72,60,819,72,96,91,169,2,98,276,555,3000,41,6338
CURI RAGUT,980,333,223,3867,216,288,178,659,11,1167,232,503,2237,180,11074
PECAH RUMAH DAN CURI,3461,1577,1182,3335,1076,1658,1472,2209,121,1477,1487,1688,6769,1360,28872
JUMLAH,21898,9055,4839,25891,4812,6137,6490,9842,662,13278,5246,10328,41875,5019,165372
JUMLAH JENAYAH INDEKS,26998,10221,5322,31740,5498,7320,7099,11927,779,15268,6401,11409,51393,5405,196780
JUMLAH JENAYAH JALANAN,4908,860,299,8831,577,1093,470,1996,24,2480,795,1023,9636,272,33264

JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/1/2007 Hingga 31/12/2007 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TRNGGANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,68,21,16,67,5,22,18,46,1,50,68,46,147,15,590
ROGOL,478,311,164,228,135,155,202,228,28,161,204,132,609,141,3176
SAMUN BERKAWAN BERS/API,6,2,1,3,0,4,1,3,1,2,0,21,29,2,75
SAMUN BERKAWAN TANPA BERS/API,1284,119,9,1041,118,261,92,346,3,403,245,115,3033,24,7093
SAMUN BERSENJATAPI,20,14,2,30,0,6,1,14,3,17,1,5,83,1,197
SAMUN TANPA S/API,2758,696,84,3818,256,533,191,1021,12,1079,396,491,5818,82,17235
MENCEDERAKAN,776,498,309,740,207,249,213,572,42,563,389,487,1602,146,6793
JUMLAH,5390,1661,585,5927,721,1230,718,2230,90,2275,1303,1297,11321,411,35159
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,3991,2908,982,6234,1520,2227,2377,2881,167,4324,3134,2741,10131,1029,44646
CURI MOTOKAR,1987,457,501,2391,153,256,122,467,13,437,203,965,4368,108,12428
CURI MOTOSIKAL,10790,4973,2224,7604,1852,1838,2170,4565,381,6484,278,3148,18962,2337,67606
CURI VAN/LORI/J'BERAT,708,69,86,603,36,111,102,145,2,87,230,689,2157,22,5047
CURI RAGUT,780,763,305,2867,184,397,264,456,17,1222,285,538,2855,173,11106
PECAH RUMAH DAN CURI,3195,2356,1508,3847,1000,1676,1537,2115,90,1832,1820,2233,8798,1583,33590
JUMLAH,21451,11526,5606,23546,4745,6505,6572,10629,670,14386,5950,10314,47271,5252,174423
JUMLAH JENAYAH INDEKS,26841,13187,6191,29473,5466,7735,7290,12859,760,16661,7253,11611,58592,5663,209582
JUMLAH JENAYAH JALANAN,4822,1578,398,7726,558,1191,547,1823,32,2704,926,1144,11706,279,35434



JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/1/2008 Hingga 31/12/2008 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TRNGGANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,98,26,15,55,14,29,13,58,3,46,67,39,185,6,654
ROGOL,571,309,250,186,129,199,206,237,46,183,240,145,643,150,3494
SAMUN BERKAWAN BERS/API,12,15,18,24,1,8,5,5,7,13,2,20,50,2,182
SAMUN BERKAWAN TANPA BERS/API,3799,557,66,4661,341,784,288,1191,4,1121,568,508,7848,68,21804
SAMUN BERSENJATAPI,4,11,10,4,0,6,1,12,5,1,0,0,19,3,76
SAMUN TANPA S/API,661,357,116,896,150,137,79,242,7,411,163,288,1399,53,4959
MENCEDERAKAN,820,467,351,562,228,261,240,489,57,447,410,611,1562,143,6648
JUMLAH,5965,1742,826,6388,863,1424,832,2234,129,2222,1450,1611,11706,425,37817
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,3973,2506,962,4803,1503,1812,2293,2454,143,3788,3465,3320,8869,1324,41215
CURI MOTOKAR,1745,682,763,3178,142,382,143,530,8,753,244,984,5458,186,15198
CURI MOTOSIKAL,10827,5311,3268,7285,1763,1847,1999,4689,429,6147,468,3335,17711,2280,67359
CURI VAN/LORI/J'BERAT,759,92,100,813,58,151,163,161,6,151,310,751,2714,34,6263
CURI RAGUT,15,589,315,2181,191,272,248,387,17,1103,419,398,1840,230,8205
PECAH RUMAH DAN CURI,3340,2185,1515,3790,1086,1780,1561,2126,76,2487,2142,2530,9454,1516,35588
JUMLAH,20659,11365,6923,22050,4743,6244,6407,10347,679,14429,7048,11318,46046,5570,173828
JUMLAH JENAYAH INDEKS,26624,13107,7749,28438,5606,7668,7239,12581,808,16651,8498,12929,57752,5995,211645
JUMLAH JENAYAH JALANAN,4475,1503,497,7738,682,1193,615,1820,28,2635,1150,1194,11087,351,34968

JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/1/2009 Hingga 31/12/2009 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TRNGGANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,74,33,8,64,12,14,24,54,2,52,69,50,139,6,601
ROGOL,656,378,314,153,105,209,226,254,44,179,258,207,684,173,3840
SAMUN BERKAWAN BERS/API,87,46,16,127,1,62,26,35,13,28,0,11,359,4,815
SAMUN BERKAWAN TANPA BERS/API,5028,534,122,6156,240,909,246,1257,8,1030,407,572,7127,86,23722
SAMUN BERSENJATAPI,11,8,9,35,1,19,3,6,3,6,0,1,51,2,155
SAMUN TANPA S/API,1374,321,52,942,89,194,61,218,5,307,128,149,979,43,4862
MENCEDERAKAN,1144,539,421,772,294,351,334,654,78,559,480,604,1999,141,8370
JUMLAH,8374,1859,942,8249,742,1758,920,2478,153,2161,1342,1594,11338,455,42365
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,4211,2422,868,7510,1523,1362,1707,2145,129,3485,2939,2918,8750,895,40864
CURI MOTOKAR,1755,526,775,3138,226,266,234,689,28,786,277,686,4624,212,14222
CURI MOTOSIKAL,8825,4958,2841,6286,1520,1871,2167,4628,398,6185,663,3036,15528,2488,61394
CURI VAN/LORI/J'BERAT,612,122,69,726,59,99,143,306,8,248,280,637,2177,38,5524
CURI RAGUT,99,540,391,3341,232,273,174,479,8,1189,336,485,2064,128,9739
PECAH RUMAH DAN CURI,3391,2502,1515,4531,1321,1918,1376,2043,93,2765,2249,3200,10513,1153,38570
JUMLAH,18893,11070,6459,25532,4881,5789,5801,10290,664,14658,6744,10962,43656,4914,170313
JUMLAH JENAYAH INDEKS,27267,12929,7401,33781,5623,7547,6721,12768,817,16819,8086,12556,54994,5369,212678
JUMLAH JENAYAH JALANAN,6501,1395,565,10439,561,1376,481,1954,21,2526,871,1206,10170,257,38323



JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/1/2010 Hingga 31/12/2010 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TRNGGANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,58,24,21,61,9,22,14,43,1,33,63,36,175,8,568
ROGOL,619,352,311,161,105,196,223,293,39,149,243,197,653,152,3693
SAMUN BERKAWAN BERS/API,142,103,38,100,7,157,96,13,6,67,1,6,1048,25,1809
SAMUN BERKAWAN TANPA BERS/API,2713,486,74,3931,266,837,163,1108,13,753,378,458,4566,63,15809
SAMUN BERSENJATAPI,23,20,13,21,1,21,18,2,5,21,0,1,152,11,309
SAMUN TANPA S/API,648,237,59,933,71,184,43,228,10,259,127,90,837,108,3834
MENCEDERAKAN,1026,492,386,969,263,276,304,548,72,593,402,596,2057,127,8111
JUMLAH,5229,1714,902,6176,722,1693,861,2235,146,1875,1214,1384,9488,494,34133
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,4356,2225,909,6186,1256,1164,1314,1986,282,2778,2705,2939,7459,847,36406
CURI MOTOKAR,1667,530,777,3482,253,308,247,660,16,464,234,462,6084,106,15290
CURI MOTOSIKAL,7812,4698,2776,5319,1875,1960,2196,4136,418,4282,751,3017,13769,1548,54557
CURI VAN/LORI/J'BERAT,538,109,125,753,68,152,123,192,6,143,295,554,1680,36,4774
CURI RAGUT,84,411,295,1897,122,55,101,244,58,835,144,398,1250,56,5950
PECAH RUMAH DAN CURI,2741,2035,1426,4682,1073,1484,1352,1911,163,2096,2337,3006,9739,1007,35052
JUMLAH,17198,10008,6308,22319,4647,5123,5333,9129,943,10598,6466,10376,39981,3600,152029
JUMLAH JENAYAH INDEKS,22427,11722,7210,28495,5369,6816,6194,11364,1089,12473,7680,11760,49469,4094,186162
JUMLAH JENAYAH JALANAN,3445,1134,428,6761,459,1076,307,1580,81,1847,649,946,6653,227,25593

JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/1/2011 Hingga 31/12/2011 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TRNGGANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,86,28,16,33,14,21,21,41,3,31,68,35,127,6,530
ROGOL,582,327,276,145,81,172,222,226,51,146,240,151,516,135,3270
SAMUN BERKAWAN BERS/API,9,16,9,15,3,9,8,8,2,12,2,13,211,1,318
