,,,,,,,,,,,,,,,
JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/1/2009 Hingga 31/12/2009 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TRNGGANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,74,33,8,64,12,14,24,54,2,52,69,50,139,6,601
ROGOL,656,378,314,153,105,209,226,254,44,179,258,207,684,173,3840
SAMUN BERKAWAN BERS/API,87,46,16,127,1,62,26,35,13,28,0,11,359,4,815
SAMUN BERKAWAN TANPA BERS/API,5028,534,122,6156,240,909,246,1257,8,1030,407,572,7127,86,23722
SAMUN BERSENJATAPI,11,8,9,35,1,19,3,6,3,6,0,1,51,2,155
SAMUN TANPA S/API,1374,321,52,942,89,194,61,218,5,307,128,149,979,43,4862
MENCEDERAKAN,1144,539,421,772,294,351,334,654,78,559,480,604,1999,141,8370
JUMLAH,8374,1859,942,8249,742,1758,920,2478,153,2161,1342,1594,11338,455,42365
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,4211,2422,868,7510,1523,1362,1707,2145,129,3485,2939,2918,8750,895,40864
CURI MOTOKAR,1755,526,775,3138,226,266,234,689,28,786,277,686,4624,212,14222
CURI MOTOSIKAL,8825,4958,2841,6286,1520,1871,2167,4628,398,6185,663,3036,15528,2488,61394
CURI VAN/LORI/J'BERAT,612,122,69,726,59,99,143,306,8,248,280,637,2177,38,5524
CURI RAGUT,99,540,391,3341,232,273,174,479,8,1189,336,485,2064,128,9739
PECAH RUMAH DAN CURI,3391,2502,1515,4531,1321,1918,1376,2043,93,2765,2249,3200,10513,1153,38570
JUMLAH,18893,11070,6459,25532,4881,5789,5801,10290,664,14658,6744,10962,43656,4914,170313
JUMLAH JENAYAH INDEKS,27267,12929,7401,33781,5623,7547,6721,12768,817,16819,8086,12556,54994,5369,212678
JUMLAH JENAYAH JALANAN,6501,1395,565,10439,561,1376,481,1954,21,2526,871,1206,10170,257,38323
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/1/2010 Hingga 31/12/2010 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TRNGGANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,58,24,21,61,9,22,14,43,1,33,63,36,175,8,568
ROGOL,619,352,311,161,105,196,223,293,39,149,243,197,653,152,3693
SAMUN BERKAWAN BERS/API,142,103,38,100,7,157,96,13,6,67,1,6,1048,25,1809
SAMUN BERKAWAN TANPA BERS/API,2713,486,74,3931,266,837,163,1108,13,753,378,458,4566,63,15809
SAMUN BERSENJATAPI,23,20,13,21,1,21,18,2,5,21,0,1,152,11,309
SAMUN TANPA S/API,648,237,59,933,71,184,43,228,10,259,127,90,837,108,3834
MENCEDERAKAN,1026,492,386,969,263,276,304,548,72,593,402,596,2057,127,8111
JUMLAH,5229,1714,902,6176,722,1693,861,2235,146,1875,1214,1384,9488,494,34133
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,4356,2225,909,6186,1256,1164,1314,1986,282,2778,2705,2939,7459,847,36406
CURI MOTOKAR,1667,530,777,3482,253,308,247,660,16,464,234,462,6084,106,15290
CURI MOTOSIKAL,7812,4698,2776,5319,1875,1960,2196,4136,418,4282,751,3017,13769,1548,54557
CURI VAN/LORI/J'BERAT,538,109,125,753,68,152,123,192,6,143,295,554,1680,36,4774
CURI RAGUT,84,411,295,1897,122,55,101,244,58,835,144,398,1250,56,5950
PECAH RUMAH DAN CURI,2741,2035,1426,4682,1073,1484,1352,1911,163,2096,2337,3006,9739,1007,35052
